juan_label,juan_num,kanripo_chars,zhuzi_plain_chars,zhuzi_with_punct_chars,strict_ratio,relaxed_ratio,mismatch_count,variant_count,substantive_count
原序,0,5029,5028,5883,0.9828,0.9999,85,84,1
姓氏,0,1694,1736,2278,0.8927,0.9743,119,102,17
提要,0,461,461,537,0.9544,1.0000,21,21,0
門目,0,103,973,1186,0.1859,0.1877,6,1,5
卷一,1,4520,4641,5827,0.9641,0.9859,153,91,62
卷二,2,9422,9578,11696,0.9572,0.9911,403,303,100
卷三,3,11862,11975,14803,0.9649,0.9947,400,333,67
卷四,4,12979,13117,15973,0.9688,0.9939,408,318,90
卷五,5,7225,7388,9209,0.9557,0.9878,316,221,95
卷六,6,11322,11568,14340,0.9595,0.9878,450,313,137
卷七,7,2087,2131,2606,0.9644,0.9891,77,52,25
卷八,8,7342,7571,8002,0.9572,0.9832,332,175,157
卷九,9,5121,5261,6369,0.9490,0.9836,244,160,84
卷十,10,6479,6621,7883,0.9623,0.9881,250,157,93
卷十一,11,10137,10349,12530,0.9500,0.9892,489,367,122
卷十二,12,9530,9791,11947,0.9625,0.9855,362,215,147
卷十三,13,11896,12170,13818,0.9602,0.9876,469,312,157
卷十四,14,15374,15670,16096,0.9548,0.9865,618,456,162
卷十五,15,15237,15497,15528,0.9636,0.9902,527,387,140
卷十六,16,25997,26436,28938,0.9687,0.9908,792,538,254
卷十七,17,9187,9273,9288,0.9745,0.9926,242,167,75
卷十八,18,18798,19008,19048,0.9736,0.9928,505,347,158
卷十九,19,8096,8242,8264,0.9663,0.9901,263,168,95
卷二十,20,17578,17809,17838,0.9760,0.9922,408,272,136
卷二十一,21,11580,11782,11809,0.9760,0.9902,281,158,123
卷二十二,22,11834,12038,12064,0.9770,0.9901,276,150,126
卷二十三,23,15223,15438,15469,0.9763,0.9921,371,242,129
卷二十四,24,16229,16464,16495,0.9610,0.9736,345,199,146
卷二十五,25,16643,16848,16885,0.9532,0.9695,420,265,155
卷二十六,26,12316,12489,12502,0.9792,0.9923,261,155,106
卷二十七,27,19291,19503,19522,0.9759,0.9936,474,334,140
卷二十八,28,7827,8047,8065,0.9296,0.9569,295,206,89
卷二十九,29,15208,15502,15543,0.9687,0.9885,444,297,147
卷三十,30,8661,8748,8765,0.9596,0.9935,346,283,63
卷三十一,31,11049,11176,11186,0.9566,0.9939,479,402,77
卷三十二,32,11433,11554,11578,0.9266,0.9646,518,406,112
卷三十三,33,12735,12888,12898,0.9343,0.9746,590,495,95
卷三十四,34,22772,23286,23321,0.9673,0.9879,668,457,211
卷三十五,35,18514,18771,18802,0.9682,0.9920,560,404,156
卷三十六,36,14214,14415,14439,0.9783,0.9919,323,189,134
卷三十七,37,7247,7334,7346,0.9811,0.9932,143,86,57
卷三十八,38,3632,3715,3723,0.9740,0.9863,96,38,58
卷三十九,39,6436,6518,6533,0.9738,0.9903,168,100,68
卷四十,40,8761,8857,10684,0.9403,0.9923,472,418,54
卷四十一,41,13661,13823,13834,0.9814,0.9936,252,159,93
卷四十二,42,11510,11681,11707,0.9831,0.9919,207,100,107
卷四十三,43,6662,6771,6784,0.9841,0.9911,116,47,69
卷四十四,44,14002,14199,14214,0.9799,0.9920,300,168,132
卷四十五,45,9197,9338,9350,0.9818,0.9919,177,93,84
卷四十六,46,2877,2988,2992,0.9702,0.9804,51,30,21
卷四十七,47,5964,6040,6046,0.9820,0.9937,117,67,50
卷四十八,48,2473,2507,2509,0.9847,0.9932,41,21,20
卷四十九,49,7066,7160,7173,0.9679,0.9927,225,160,65
卷五十,50,660,669,670,0.9767,0.9917,18,10,8
卷五十一,51,5057,5129,5141,0.9615,0.9910,190,147,43
卷五十二,52,22017,22324,22364,0.9586,0.9915,899,685,214
卷五十三,53,11282,11418,11430,0.9688,0.9922,358,257,101
卷五十四,54,1709,1732,1735,0.9724,0.9927,42,31,11
卷五十五,55,6975,7061,7071,0.9661,0.9927,244,184,60
卷五十六,56,5757,5838,5845,0.9690,0.9923,182,127,55
卷五十七,57,8130,8241,8265,0.9649,0.9914,280,203,77
卷五十八,58,8113,8195,8203,0.9662,0.9940,274,216,58
