juan_label,type,k_start,k_end,k_text,z_text,context_before,context_after,out_start,out_end
門目,replace_lendiff,58,59,吕,自孔子及顔曾弟子至孟子以周程張子共附為一卷周程所以上繼孔孟也然後分周子之書為一卷程子之書為三卷凡係入近思者皆依卷次第別為二卷其非入近思者以類而從別為一卷文集附焉張子之書為二卷亦別入近思者邵子之書為一卷程子門人為一卷楊氏尹氏門人為一卷羅氏胡氏門人為一卷朱子自論學工夫為一卷論注書為一卷已上諸經存者不入外任一卷内任一卷論治道一卷論取士一卷論兵刑一卷論民財一卷論官一卷訓門人九卷呂,庸三卷。易十三卷。書二卷。詩二卷。孝經一卷。春秋一卷。禮八卷。樂一卷。孔、孟、周、程、張、邵、朱子。,伯恭一卷。陳、葉一卷。陸氏一卷。老、莊一卷。釋氏一卷。本朝六卷。歴代三卷。戰國漢唐諸子一卷。雜類一卷,77,78
姓氏,replace_lendiff,23,25,録(,錄,廖德明，(字子晦，/南劍人。)　癸巳(以後/所聞。)池,一、/)　　饒録(四十六。/)輔廣，(字漢卿，慶源/人，居嘉興。)甲寅(以後/所聞。)池録(二。/),27,29
姓氏,delete_large,26,30,/)　　,,廖德明，(字子晦，/南劍人。)　癸巳(以後/所聞。)池録(一、,饒録(四十六。/)輔廣，(字漢卿，慶源/人，居嘉興。)甲寅(以後/所聞。)池録(二。/)余大雅，(字,31,35
姓氏,replace_lendiff,31,33,録(,錄,廖德明，(字子晦，/南劍人。)　癸巳(以後/所聞。)池録(一、/)　　饒,四十六。/)輔廣，(字漢卿，慶源/人，居嘉興。)甲寅(以後/所聞。)池録(二。/)余大雅，(字正叔，,36,38
姓氏,replace_lendiff,62,64,録(,錄,聞。)池録(一、/)　　饒録(四十六。/)輔廣，(字漢卿，慶源/人，居嘉興。)甲寅(以後/所聞。)池,二。/)余大雅，(字正叔，/上饒人。)　戊戌(以後/所聞。)池録(三。/)陳文蔚，(字才卿，/上饒人,73,75
姓氏,replace_lendiff,90,92,録(,錄,，居嘉興。)甲寅(以後/所聞。)池録(二。/)余大雅，(字正叔，/上饒人。)　戊戌(以後/所聞。)池,三。/)陳文蔚，(字才卿，/上饒人。)　戊申(以後/所聞。)池録(四。/)李閎祖，(字守約，/邵武人,106,108
姓氏,replace_lendiff,118,120,録(,錄,上饒人。)　戊戌(以後/所聞。)池録(三。/)陳文蔚，(字才卿，/上饒人。)　戊申(以後/所聞。)池,四。/)李閎祖，(字守約，/邵武人。)　戊申(以後/所聞。)池録(五。/)李方子，(字公晦，/邵武人,139,141
姓氏,replace_lendiff,146,148,録(,錄,上饒人。)　戊申(以後/所聞。)池録(四。/)李閎祖，(字守約，/邵武人。)　戊申(以後/所聞。)池,五。/)李方子，(字公晦，/邵武人。)　戊申(以後/所聞。)池録(六。/)葉賀孫，(字味道，括蒼/人,172,174
姓氏,replace_lendiff,174,176,録(,錄,邵武人。)　戊申(以後/所聞。)池録(五。/)李方子，(字公晦，/邵武人。)　戊申(以後/所聞。)池,六。/)葉賀孫，(字味道，括蒼/人，居永嘉。)辛亥(以後/所聞。)池録潘時舉，(字子善，/天台人。),205,207
姓氏,replace_lendiff,204,205,録,錄七八九十十一,。)　戊申(以後/所聞。)池録(六。/)葉賀孫，(字味道，括蒼/人，居永嘉。)辛亥(以後/所聞。)池,潘時舉，(字子善，/天台人。)　癸丑(以後/所聞。)池録(十二、/)　饒録(四十六。/)董銖，(字叔,241,242
