juan_label,type,kanripo_pos,kanripo_text,zhuzi_text,context_before,context_after,is_variant
原序,delete,4619-4620,二,,江右始訪於豫章胡祭酒頥庵先生家得印本中缺,十餘卷眀年分巡湖東又訪於崇仁吳聘君康齋家,False
姓氏,replace,303-304,録,錄二十,録十八十九徐㝢字居父永嘉人庚戌以後所聞池,二十一二十饒録四十六林恪字叔恭天台人癸丑,False
姓氏,replace,307-311,二十饒録,饒錄,九徐㝢字居父永嘉人庚戌以後所聞池録二十一,四十六林恪字叔恭天台人癸丑所聞池録二十二,False
姓氏,delete,805-806,子,,㽦字子耕分寧人戊申所聞饒録九十楊若海字闕,道夫之闕饒録十一楊驤字子昻道夫族兄己酉甲,False
姓氏,replace,809-812,闕饒録,子闕饒錄,分寧人戊申所聞饒録九十楊若海字闕子道夫之,十一楊驤字子昻道夫族兄己酉甲寅所聞饒録十,False
姓氏,delete,1008-1009,夫,,字行夫平陽人壬子所錄饒録二十三楊與立字闕,浦城人道從兄壬子同劉闕龔栗諦見饒録二十四,False
姓氏,insert,1013-1013,,夫,人壬子所錄饒録二十三楊與立字闕夫浦城人道,從兄壬子同劉闕龔栗諦見饒録二十四鄭南升字,False
姓氏,insert,1702-1702,,一之闕蜀類枅闕徽續類,壯祖字處謙邵武人闕蜀類李公謹字闕闕闕蜀類,郭逍遥字闕闕闕建别録十八不知何氏闕建别録,False
門目,insert,2-2,,太極陰陽凡形於法象者二卷,理氣,鬼神性理學大學五卷論語三十二卷孟子十一卷,False
門目,insert,4-4,,其別有三在天之鬼神陰陽造化是也在人之鬼神人死為鬼是也祭祀之鬼神神示祖考是也三者雖異其所以為鬼神者則同知其異又知其同斯可以語鬼神之道矣故合為一卷,理氣鬼神,性理學大學五卷論語三十二卷孟子十一卷中庸,False
門目,replace,6-7,學,論性不論氣不備故先總論人物之性而繼以氣稟之性為一卷古人之學必先明夫名義故為學也易而求之不差後世名義不明故為學也難蓋有終身昧焉而不察者又安能反而體之於身哉故以性情心意等之命名者為一卷仁義禮智等之命名者為一卷共三卷學先之以小學為一卷總論為學之方為一卷次論知行為一卷次專論讀書之法為二卷乃致知之一端也次則及夫持守為一卷又次則終以行事為一卷共七卷朱子教人之序如此因敢次第之即大學致知而后誠意正心脩身誠意正心脩身而后齊家治國平天下之道也從上聖賢相承定法不容變易如近世之逞虛言而不實踐乃學者之罪正原於知之未致非教之失也苟或懲此別立一法後致知而先行事則其始雖若有近效而其終之弊必至廢書而流於異端不然所見不充規模狹隘不過於循默自守而已所謂經綸大經則無矣非理學之功用也,理氣鬼神性理,大學五卷論語三十二卷孟子十一卷中庸三卷易,False
