sentence_id,text,consensus_label
Z000162,"有人物,然後有性命之名,而仁義禮智之理。",C
Z000164,"所謂學者,求得夫此理而已。",C
Z000166,"之定序,次之以羣經,所以明此理者也,次之以孔、孟、周。",C
Z000167,"程、朱子所以傳此理者也,乃繼之以斥異端,異端所以",C
Z000170,此即理之行於天地設。,A
Z000174,"葢文以載道,理明意達則辭。",C
Z000177,"然其學既非,其理不明。",C
Z000179,末而理為本也。,C
Z000181,"複及今而觀之,則夫理一而名殊,問同而答異者淺。",C
Z000272,"處亦何嘗不以類哉?天下之理,同歸而殊塗,一致而百。",C
Z000282,"為之說曰:""理有可以類通,而非可以類止,是其然必有。",C
Z000283,"所以然學者,因其類以䆒極朱子之全書,使此理融會。",C
Z000354,非譚經論事明理之言也。,N
Z000356,"賢之域,則理有不明,心無實得,豈善學哉?惟其不善學。",C
Z000358,"是以性汨於氣,私勝而理微,注措云為,鮮有不戾道。",C
Z000390,"問:""太極不是未有天地之先,有箇渾成之物,是天地萬物之理總名否?""曰:""太極只是天地萬物之理。",C
Z000392,"未有天地之先,畢竟是先有此理。",C
Z000399,"問:""昨謂未有天地之先,畢竟是先有理如何?""曰:""未有天地之先,畢竟也只是理。",C
Z000400,"有此理,便有此天地,若無此理,便亦無天地,無人無物,都無該載了。",C
Z000401,"有理便有氣流行,發育萬物。",A
Z000402,"""曰:""發育是理,發育之否?""曰:""有此理,便有此氣,流行發育,理無形體。",B
Z000406,太極只是一箇理字。,C
Z000407,有是理後生是氣。,C
Z000409,"天下未有無理之氣,亦未有無氣之理。",C
Z000412,"先有箇天理了,却有氣,氣積為質而性具焉。",C
Z000414,"""曰:""理一分殊,合天地萬物而言,只是一箇理,及在人,則又各自有一箇理。",C
Z000415,"問理與氣曰:""有是理,便有是氣。",C
Z000416,"但理是本,而今且從理上說氣。",C
Z000427,"""又問""元亨利貞,是備箇動静隂陽之理,而《易》只謂乾有之。",C
Z000431,"""又問:""有是理而後有是氣,未有人時,此理何在?""曰:""也只在這裏。",C
Z000434,"問先有理,抑先有氣?""曰:""理未嘗離乎氣。",C
Z000435,"然理形而上者,氣形而下者,自形而上下言,豈無先後?理無形氣,便粗有渣滓。",C
Z000436,"或問:""必有是理,然後有是氣,如何?""曰:""此本無先後之可言,然必欲推其所從來,則須說先有是理。",C
Z000437,"然理又非别為一物,即存乎是氣之中。",C
Z000438,無是氣則是理亦無掛搭處。,B
Z000439,"氣則為金木水火,理則為仁義禮智。",C
Z000440,"或問理在先氣在後曰:""理與氣,本無先後之可言,但推上去時,却如理在先氣在後相似。",C
Z000441,"""又問:""理在氣中發見處如何?""曰:""如隂陽五行,錯綜不失條緒,便是理。",C
Z000442,"若氣不結聚時,理亦無所附著。",B
Z000445,"或問先有理後有氣之說曰:""不消如此說,而今知得他合下是先有理後有氣邪,後有理先有氣邪,皆不可得而推䆒。",C
Z000446,"然以意度之,則疑此氣是依傍這理行,及此氣之聚,則理亦在焉。",B
Z000447,"盖氣則能凝結造作,理却無情意,無計度、無造作,只此氣凝聚處,理便在其中。",B
Z000449,"若理則只是箇浄潔空濶底世界,無形迹,他却不會造作,氣則能醖釀凝聚生物也。",B
Z000451,"問有是理,便有是氣,似不可分先後。",C
Z000452,"""曰:""要之也先有理,只不可說是。",C
Z000453,"今日有是理,明日却有是氣也,須有先後。",C
Z000454,"且如萬一山河,天地都陷了,畢竟理却只在這裏。",C
Z000455,"徐問:""天地未判時,下面許多,都已有否?""曰:""只是都有此理。",C
Z000460,"問:""天地之心,天地之理。",U
Z000480,"凡此等類,是蒼蒼在上者,真有主宰如是邪?抑天無心,只是推原其理如此。",C
Z000481,"""曰:""此三段,只一意,這箇也只是理如此。",C
Z000484,"邵堯夫《經世吟》有云:""羲·軒·堯·舜·湯·武·桓·文,皇王·帝霸,父子·君臣四者之道理,陷於秦,降及兩漢,又歴三分,東西俶擾,南北紛紜,五胡十姓,天紀幾棼,非唐不濟,非宋不存,千世萬世　有人。",N
Z000490,有説蒼蒼者也有)(説主宰者也/有單訓理時),U
Z000562,"隂陽五行之理,須常常看得,在目前,則自然牢固矣。",C
Z000570,"""又曰:'同者理也,不同者氣也。",C
Z000571,"'又曰:'他所以道五行之生,各一其性節復問:""這箇莫是木自是木,火自是火,而其理則一。",C
Z000575,"所以為金木、水火土者是神,在人則為理,所以為仁義禮智信者是也。",C
Z000576,"金、木、水、火、土,雖曰五行,各一其性,然一物又各具五行之理,不可不知。",C
Z000590,"邵伯温載伊川言曰:'向惟見周茂叔語及此,然不及先生之有條理也。",N
Z000662,"(《義剛錄》/云前漢)(《厯志》説道理處少/不及《東漢志》較詳)淳問月令》䟽地冬上騰,夏下降是否?""曰:""未便理㑹到此,且看大綱,識得後,此處用度筭方知。",N
Z000789,"'如此則氣不和時,便無月,恐無此理。",C
Z000790,"其云三五而盈,三五而闕彼必不曾以理推之。",C
Z000791,"若以理推之,則無有盈闕也。",C
Z000812,㸔來理或有之。,C
Z000892,"張子云:'其來也,幾㣲易簡;其䆒也廣大堅固即此理也。",C
Z000900,"伊川説:""世間人説雹是蜥蜴做,初恐無是理,看來亦有之,只謂之全是蜥蜴做,則不可耳。",N
Z000952,"或問季通厯法未是,曰:""這都未理㑹得,而今須是也㑹布筭,也學得似他了,把去推測,方見得他是與不是。",N
Z000953,"而今某自不曾理㑹得,如何説得他是與不是?這也是康節説,恁地若錯時,也是康節錯了。",N
Z000996,"舊見明州人説,月加子午,則潮長,自有此理。",C
Z001034,"要作地理圖三箇様子,一寫州名,一寫縣名,一寫山川名。",N
Z001070,"因説鬼神曰:""鬼神事,自是第二着,那箇無形影,是難理會底,未消去理會。",N
Z001073,此便是合理㑹底。,N
Z001074,"理㑹得将間,鬼神自有見處。",N
Z001075,"若合理㑹底,不理㑹,只管去理㑹,沒𦂳要底,將間都沒理㑹了。",N
Z001077,今且須去理㑹眼前事。,N
Z001078,"那箇鬼神事,無形無影,莫要枉費心力,理㑹得。",N
Z001082,"如《易》便自難理㑹了,而今只據我恁地推測,不知是與不是,亦須逐一去㸔,然到極處,不過只是這箇。",N
Z001083,"或問鬼神有無曰:""此豈卒乍可説便説?公亦豈能信得?及?湏於衆理㸔得漸明,則此惑自解。",N
Z001085,"人且理㑹合當理㑹底事,其理㑹未得底,且推向一邊,待日用常行處,理㑹得透,則鬼神之理,將自見得,乃所以爲知也。",N
Z001112,"此等處,且莫要理㑹。",N
Z001114,"理有明未盡處,如何得意誠且如鬼神事,今是有是無。",C
Z001117,"""先生曰:""只是公不曾見,畢竟其理如何?南軒亦只是硬不信,有時戱説一二。",C
Z001125,"此理又不知如何造化,若用此物爲雹,則造化亦小矣。",C
Z001145,"""鄭景望遂以薛氏所見爲實理,不知此特虹霓之類耳。",N
Z001156,"""又問:""精氣凝時,此理便附在氣上否?"")曰:""天道流行,發育萬物,有理而後有氣。",A
Z001171,"若理則只泊在氣上,初不是凝結,自爲一物。",B
Z001172,"但人分上所合當然者,便是理,不可以聚散言也。",C
Z001173,"然人死雖終歸於散,然亦未便散盡,故祭祀有感格之理。",C
Z001174,"先祖世次遠者,氣之有無,不可知,然奉祭祀者,既是他子孫,畢竟只是一氣,所以有感通之理。",C
Z001185,"但人所常見,故不之怪,忽聞鬼嘯·鬼火之屬,則便以爲怪,不知此亦造化之迹,但不是正理,故爲怪異。",C
Z001187,"'皆是氣之雜揉乖戾所生,亦非理之所無也。",C
Z001189,"如冬寒夏熱,此理之正也。",C
Z001192,"○閎祖○賜)(録》云:""問:""民受天地之中以生,中是氣否?""曰:""中是理,理/便是仁義禮智,曷嘗有形象來?凡無形者,謂之理若)(氣則謂之生也。",C
Z001197,"知生則便知死,只是此理。",C
Z001201,"然人之祀祖先,却有所謂(來)(假來享,此理如何?""曰:""若是誠心感格,彼之魂氣,未盡/散,豈不來享?""又問:""如周以后稷爲始祖,以帝嚳爲所)(自出之帝子孫,相去未遠,尚可感格,至於成康以後/千有餘年,豈復有未散者而來享之乎?""曰:""夫聚散者)(氣也。",C
Z001202,"若理則只泊在氣上,初不是凝結爲一物,而爲/性也。",B
Z001204,"人死,氣亦未便散得盡,故祭祖先,有/感格之理。",C
Z001207,"若能極/其誠敬,則亦有感通之理。",C
Z001209,"""曰:""然則羊叔子識環之事)(非邪曰:""史傳此等事極多,要之不足信,便有也,不是/正理。",N
Z001210,"""又問:""世之見鬼神者甚多,不審有無如何?""曰世)(間人見者極多,豈可謂無?但非正理耳。",N
Z001239,"""盖他來則俱來,如祭祀報魂報魄,求之四方,上下便是皆有感格之理用之。",C
Z001360,"老氏惟見此理,一向自私其身。",C
Z001376,"人死則氣散,理之常也。",C
Z001429,"問:""性即是理,不可以聚散言。",C
Z001434,"然其氣雖已散,這箇天地隂陽之理,生生而不窮,祖考之精神魂魄雖已散,而子孫之精神魂魄,自有些小相屬,故祭祀之禮,盡其誠敬,便可以致得祖考之魂魄。",A
Z001435,"這箇自是難説,㸔既散後,一似都無了,能盡其誠敬,便有感格,亦縁是理常只在這裡也。",C
Z001436,"問:""鬼神以祭祀而言,天地、山川之屬,分明是一氣流通,而兼以理言之。",C
Z001437,"人之先祖,則大概以理為主,而亦兼以氣魄言之。",C
