sentence_id,text,label_openai,basis_openai,label_gemini,basis_gemini
Z000162,"有人物,然後有性命之名,而仁義禮智之理。",C,仁義禮智之理 존재만 서술됨,C,理가 존재함을 서술하나 작용 여부 불분명
Z000164,"所謂學者,求得夫此理而已。",C,"求得此理만, 理의 작용 언급 없음",C,理를 '구하는 대상'으로 서술
Z000166,"之定序,次之以羣經,所以明此理者也,次之以孔、孟、周。",C,"明此理 목적 서술, 理 작용 불명확",C,理를 '밝히는 대상'으로 서술
Z000167,"程、朱子所以傳此理者也,乃繼之以斥異端,異端所以",C,傳此理 행위 주체로 理가 아닌 점,C,理를 '전하는 대상'으로 서술
Z000168,"蔽此理而斥之者,任道統之責也,然後自我朝及歴代。",B,蔽此理라 하여 理가 수동적 대상임 암시,C,理를 '가리는 대상'으로 서술
Z000170,此即理之行於天地設。,A,"理之行於天地, 理가 작용 주체임 명시",A,理之行於天地: 理가 천지에 행함
Z000174,"葢文以載道,理明意達則辭。",C,"理明意達, 理 작용 직접 서술 아님",C,理明意達: 理가 밝혀짐을 서술
Z000175,"自成文後,世理學不明,第以文辭為學,固有竭終身。",C,"世理學不明, 理 작용 여부 불명확",N,理學: 학문의 한 분야를 지칭
Z000177,"然其學既非,其理不明。",C,"理不明 서술, 작용 여부 언급 없음",C,理不明: 理가 밝혀지지 않음을 서술
Z000179,末而理為本也。,C,"理為本, 근본임만 서술됨",C,理為本: 理가 근본임을 서술
Z000181,"複及今而觀之,則夫理一而名殊,問同而答異者淺。",C,"理一而名殊, 능동·수동 불명확",C,理가 '하나임'으로 서술되나 작용 여부 불분명
Z000272,"處亦何嘗不以類哉?天下之理,同歸而殊塗,一致而百。",C,"天下之理, 同歸而殊塗, 능동·수동 언급 없음",C,理가 '동귀이수도'로 서술되나 작용 여부 불분명
Z000282,"為之說曰:""理有可以類通,而非可以類止,是其然必有。",C,"理有可以類通, 작용 여부 불명확",C,理가 '유이류통'으로 서술되나 작용 여부 불분명
Z000283,"所以然學者,因其類以䆒極朱子之全書,使此理融會。",C,"使此理融會, 능동·수동 명확하지 않음",C,理가 '융회'된다고 서술되나 작용 여부 불분명
Z000354,非譚經論事明理之言也。,N,明理는 일상적 용법으로 판단불가,N,明理는 형이상학적 理가 아닌 어휘적 용법
Z000356,"賢之域,則理有不明,心無實得,豈善學哉?惟其不善學。",C,"理有不明, 작용 여부 직접 언급 없음",C,理가 '불명'하다고 서술되나 작용 여부 불분명
Z000358,"是以性汨於氣,私勝而理微,注措云為,鮮有不戾道。",C,"理微, 작용 불명확, 氣 중심 서술",C,理가 '미미하다'고 서술되나 작용 여부 불분명
Z000390,"問:""太極不是未有天地之先,有箇渾成之物,是天地萬物之理總名否?""曰:""太極只是天地萬物之理。",C,"理總名, 능동·수동 판단 불가",C,理가 '총명'으로 서술되나 작용 여부 불분명
Z000392,"未有天地之先,畢竟是先有此理。",C,"先有此理, 존재 서술뿐 작용 언급 없음",C,理의 선재를 언급하나 작용 여부 불분명
Z000393,"動而生陽,亦只是理;静而生隂,亦只是理。",A,"動而生陽, 静而生陰, 理이 직접 작용함",C,"理가 '생'의 주체로 보일 수 있으나, '亦只是理'로 보아 작용 여부 불분명"
Z000399,"問:""昨謂未有天地之先,畢竟是先有理如何?""曰:""未有天地之先,畢竟也只是理。",C,"未有天地之先畢竟也只是理, 능동수동 불명확",C,理의 선재를 언급하나 작용 여부 없음
Z000400,"有此理,便有此天地,若無此理,便亦無天地,無人無物,都無該載了。",C,"有此理便有天地, 존재관계만 서술됨",C,理의 존재 유무와 천지 관계를 언급
Z000401,"有理便有氣流行,發育萬物。",A,"有理便有氣流行發育萬物, 理가 작용 주체",A,理가 氣를 유행시키고 만물을 발육시킴
